Proc_ID,Proc_Name,Poc_Type,Check_Rules
P0028,Wound debridement - Minor,Surgical Management,"CH01, CH02, CH03, CH05, CH06, CH07, CH35"
P0029,"Hysterectomy - Abdominal
- With or Without BSO and adhesiolysis",Surgical Management,"CH01, CH02, CH03, CH05, CH06, CH07, CH36"
P0030,D & C with Hysteroscopy (Day Care),Surgical Management,"CH01, CH02, CH03, CH05, CH06, CH07, CH37"
P0031,Normal Delivery with Well Baby Care (Single / Twins),Surgical Management,"CH01, CH02, CH03, CH05, CH06, CH07, CH38"
P0032,LSCS with Well Baby Care (Single / Twins),Surgical Management,"CH01, CH02, CH03, CH05, CH06, CH07, CH39"
P0033,Bartholin cyst removal,Surgical Management,"CH01, CH02, CH03, CH05, CH06, CH07, CH40"
P0034,Carpal Tunnel Release (U/L),Surgical Management,"CH01, CH02, CH03, CH05, CH06, CH07, CH41"
P0035,Implant Removal - Minor (Except K-Wire),Surgical Management,"CH01, CH02, CH03, CH05, CH06, CH07, CH42"
P0036,Implant Removal - Major,Surgical Management,"CH01, CH02, CH03, CH05, CH06, CH07, CH42"
P0037,K Wire Removal,Surgical Management,"CH01, CH02, CH03, CH05, CH06, CH07, CH42"
P0038,A V Fistula For Dialysis (Day Care),Surgical Management,"CH01, CH02, CH03, CH05, CH06, CH07, CH43"
P0039,Cystoscopy & DJ Stent Insertion (Day care),Surgical Management,"CH01, CH02, CH03, CH05, CH06, CH07, CH44"
P0040,Cystoscopy & DJ Stent Removal (Day care),Surgical Management,"CH01, CH02, CH03, CH05, CH06, CH07, CH45"
P0041,Orchidectomy - Unilateral,Surgical Management,"CH01, CH02, CH03, CH05, CH06, CH07, CH46"
P0042,Orchidectomy - Bilateral,Surgical Management,"CH01, CH02, CH03, CH05, CH06, CH07, CH47"
P0043,Meatotomy (Day care),Surgical Management,"CH01, CH02, CH03, CH05, CH06, CH07, CH48"
P0044,Coronary Angiogram - Including Cost of dye,Surgical Management,"CH01, CH02, CH03, CH05, CH06, CH07, CH49"
P0045,Total knee Replacement,Surgical Management,"CH01, CH02, CH03, CH05, CH06, CH07, CH42"
